DrugA,DrugB,Sample ID,label,css,S_sum
69,3586,0,0,49.661,-2.334
3649,929,0,1,23.4555,13.3825
3972,4129,0,1,65.392,25.023
3649,4129,0,0,20.894,-17.057
1442,3935,0,1,19.3395,17.5875
988,3586,0,0,73.427,-47.354
3980,4128,0,1,15.581,13.895
4129,2844,0,1,51.6665,3.1415
1971,1442,0,1,22.833,31.84
4129,1442,0,1,45.072,27.849
1971,3972,0,1,56.9865,42.2295
4129,2000,0,0,12.244,-0.48
1971,3649,0,1,18.83,10.772
2624,2844,0,1,64.6905,2.5195
2624,1442,0,0,46.4265,-1.8455
3935,929,0,1,36.092,26.908
3935,3867,0,1,25.7635,4.3705
3935,3586,0,1,83.8365,36.2315
3935,3649,0,1,32.0625,8.1835
69,3014,1,1,54.6375,12.0315
3586,3014,1,1,70.705,16.384
69,3586,1,0,55.0345,-1.8685
4128,818,1,1,32.801,4.173
3586,988,1,0,79.385,-27.746
3980,4128,1,1,11.0655,13.5675
3980,818,1,1,34.243,4.799
4129,2844,1,0,-8.3795,42.7365
4129,1442,1,0,-2.085,38.878
3935,3649,1,0,28.957,-6.415
4128,818,2,0,11.0485,-9.0225
3980,818,2,0,1.6115,-19.0685
3980,4128,2,1,9.9585,29.4565
4129,2844,2,1,14.153,27.663
4129,1442,2,0,-16.151,16.463
3935,3649,2,0,7.5525,-12.9235
